,City,Country,Datetime,Latitude,Longitude,Max temperature (c),Humidity (%),Cloudiness (%),Wind Speed (mps)
286,oranjemund,NA,1634715594,-28.55,16.4333,19.84,59,73,7.36
287,maceio,BR,1634715596,-9.6658,-35.7353,23.69,100,0,2.57
288,lokosovo,RU,1634715598,61.1333,74.8167,9.15,67,100,4.47
289,tsumeb,NA,1634715600,-19.2333,17.7167,23.75,48,52,8.09
290,prado,BR,1634715601,-17.3411,-39.2208,21.98,95,100,2.33
291,nuuk,GL,1634715603,64.1835,-51.7216,0.34,69,4,1.54
292,nalut,LY,1634715605,30.3333,10.85,19.51,60,1,12.55
293,inuvik,CA,1634715606,68.3499,-133.7218,-5.52,86,75,2.57
294,sorland,NO,1634715609,67.667,12.6934,3.92,93,75,15.43
295,buritama,BR,1634715610,-21.0661,-50.1472,16.24,83,99,5.07
296,todos santos,MX,1634715612,23.45,-110.2167,26.67,83,0,2.64
297,miramar,US,1634715613,25.9873,-80.2323,26.12,69,1,3.6
298,propria,BR,1634715614,-10.2111,-36.8403,21.46,97,56,1.31
299,ous,RU,1634715617,60.9058,61.5186,3.28,61,100,2.76
300,hearst,CA,1634715619,49.6835,-83.6665,4.14,87,100,3.95
301,montrose,US,1634715620,38.4166,-108.2673,-3.64,76,3,0.99
302,tiznit,MA,1634715621,29.5833,-9.5,23.82,22,77,4.32
303,inongo,CD,1634715623,-1.95,18.2667,22.95,94,97,2.35
304,antofagasta,CL,1634715625,-23.65,-70.4,13.6,85,66,0.42
305,vila velha,BR,1634715626,-20.3297,-40.2925,20.97,94,90,3.6
306,gogrial,SS,1634715429,8.5332,28.1004,29.7,60,100,2.16
307,bonavista,CA,1634715628,48.6499,-53.1147,10.06,93,96,4.02
308,niono,ML,1634715630,14.2526,-5.993,27.26,66,100,3.29
309,fairbanks,US,1634715632,64.8378,-147.7164,-1.02,73,1,2.57
310,novyy urengoy,RU,1634715633,66.0833,76.6333,2.66,72,81,9.43
311,pannonhalma,HU,1634715635,47.5495,17.7554,12.84,81,0,3.09
312,pauini,BR,1634715637,-7.7136,-66.9764,21.43,97,77,0.68
313,tomatlan,MX,1634715638,19.9333,-105.25,23.4,95,30,1.45
314,montepuez,MZ,1634715417,-13.1256,38.9997,30.51,36,19,3.16
315,denizli,TR,1634715640,37.8402,29.0698,14.47,50,4,1.54
316,cururupu,BR,1634715642,-1.8283,-44.8683,23.03,94,6,1.51
317,sur,OM,1634715643,22.5667,59.5289,34.12,34,5,3.47
318,klamath falls,US,1634715645,42.2249,-121.7817,6.95,68,90,2.24
319,fort-shevchenko,KZ,1634715646,44.5086,50.263,11.35,58,3,10.55
320,houston,US,1634715647,29.7633,-95.3633,23.01,82,75,0.45
321,roros,NO,1634715649,62.5747,11.3842,0.91,100,75,1.03
322,cantanhede,BR,1634715651,-3.6333,-44.3767,22.49,97,3,1.27
323,cap malheureux,MU,1634715653,-19.9842,57.6142,26.93,63,9,3.13
324,adre,TD,1634715654,13.4667,22.2,30.23,17,22,9.69
325,kongolo,CD,1634715656,-5.3833,27,27.77,67,70,1.49
326,san cristobal,VE,1634715658,7.7669,-72.225,18.18,92,96,0.55
327,drayton valley,CA,1634715659,53.2168,-114.9854,2.73,71,2,4.97
328,adrar,MR,1634715660,20.5022,-10.0711,24.85,19,78,7.05
329,russkaya polyana,UA,1634715661,49.417,31.9201,6.63,51,100,3.31
330,giresun,TR,1634715663,40.5,38.5,-0.38,85,99,3.1
331,rio grande,BR,1634715441,-32.035,-52.0986,14.48,71,3,4.34
332,fredericksburg,US,1634715665,38.3032,-77.4605,15.21,90,1,0
333,orem,US,1634715666,40.2969,-111.6946,6.72,91,1,0
334,aripuana,BR,1634715667,-9.1667,-60.6333,21.6,95,11,0.3
335,severnoye,RU,1634715669,56.3491,78.3619,10.38,49,78,4.89
336,nicoya,CR,1634715671,10.1483,-85.452,22.89,98,100,1.07
337,ilulissat,GL,1634715672,69.2167,-51.1,-0.99,43,100,2.57
338,pangnirtung,CA,1634715674,66.1451,-65.7125,-0.54,68,100,1.68
339,maragogi,BR,1634715676,-9.0122,-35.2225,23.91,86,18,2.8
340,monroe,US,1634715678,43.1501,-77.6831,16.8,78,40,4.12
341,pueblo nuevo,MX,1634715679,23.3833,-105.3833,10.18,87,2,2.92
342,sepuka,TZ,1634715431,-4.75,34.5333,26.91,35,78,5.69
343,akdepe,TM,1634715681,42.0551,59.3788,20.05,37,8,6.63
344,san quintin,MX,1634715682,30.4833,-115.95,14.69,74,100,3.64
345,opochka,RU,1634715683,56.7105,28.6617,3.9,89,100,6.89
346,lusambo,CD,1634715685,-4.9667,23.45,23.87,85,100,0.84
347,foumban,CM,1634715687,5.7291,10.9001,18.53,95,100,0.78
348,anarrakhi,GR,1634715689,40.4833,21.5667,13.5,74,1,1.17
349,mahates,CO,1634715690,10.2329,-75.1899,25.94,94,38,1.56
350,the valley,AI,1634715692,18.217,-63.0578,27.92,77,55,6.36
351,soyo,AO,1634715693,-6.1349,12.3689,25.03,81,100,3.39
352,bunia,CD,1634715695,1.5667,30.25,22.38,81,100,1.45
353,tamandare,BR,1634715696,-8.7597,-35.1047,24.15,86,18,2.7
354,acapulco,MX,1634715698,16.8634,-99.8901,25.53,87,97,1.88
355,qaqortoq,GL,1634715699,60.7167,-46.0333,0.28,37,0,2.19
356,parker,US,1634715701,32.7668,-97.8003,19.62,84,100,6.25
357,senanga,ZM,1634715702,-16.1167,23.2667,29.53,36,19,4.35
358,miahuatlan,MX,1634715704,18.5667,-97.4333,13,92,88,2.03
359,nacogdoches,US,1634715705,31.6002,-94.6335,17.55,91,1,1.54
360,morki,RU,1634715706,56.4303,48.9947,2.54,77,100,3.46
361,suratgarh,IN,1634715708,29.3167,73.9,35.51,7,0,3.29
362,rio de janeiro,BR,1634715673,-22.9028,-43.2075,17.73,97,90,2.57
363,ocos,GT,1634715709,14.5094,-92.1933,27.95,79,100,2.75
364,harper,LR,1634715415,4.375,-7.7169,26.18,83,100,2.68
